;idPedido;descTipoItem;descItem
0;0;bebida;refrigerante
1;0;borda;borda tradicional
2;0;ingrediente 1;pepperoni
3;0;ingrediente 2;orégano
4;0;ingrediente 3;frango
5;0;ingrediente 4;calabresa
6;0;ingrediente 5;bacon
7;0;massa;massa fina
8;0;queijo 1;mussarela
9;0;queijo 2;provolone
10;1;bebida;refrigerante
11;1;borda;cheddar
12;1;ingrediente 1;pepperoni
13;1;ingrediente 2;tomate
14;1;ingrediente 3;presunto
15;1;ingrediente 4;palmito
16;1;ingrediente 5;bacon
17;1;massa;massa tradicional
18;1;queijo 1;mussarela
19;1;queijo 2;provolone
20;2;bebida;cerveja
21;2;borda;catupiry
22;2;ingrediente 1;pepperoni
23;2;ingrediente 2;pimenta biquinho
24;2;ingrediente 3;linguiça calabresa defumada
25;2;ingrediente 4;cogumelos
26;2;ingrediente 5;alho-poró
27;2;massa;massa fina
28;2;queijo 1;mussarela
29;2;queijo 2;catupiry
30;3;bebida;refrigerante
31;3;borda;cheddar
32;3;ingrediente 1;cebola
33;3;ingrediente 2;pimenta calabresa
34;3;ingrediente 3;calabresa
35;3;massa;massa tradicional
36;3;queijo 1;mussarela
37;4;bebida;suco de laranja
38;4;borda;borda tradicional
39;4;ingrediente 1;pepperoni
40;4;ingrediente 2;tomate
41;4;ingrediente 3;cogumelos
42;4;ingrediente 4;cebola caramelizada
43;4;ingrediente 5;azeitona
44;4;massa;massa grossa
45;4;queijo 1;provolone
46;4;queijo 2;gorgonzola
47;5;bebida;suco de laranja
48;5;borda;cream cheese
49;5;ingrediente 1;cebola
50;5;ingrediente 2;tomate
51;5;ingrediente 3;azeitona
52;5;massa;massa tradicional
53;5;queijo 1;mussarela
54;5;queijo 2;provolone
55;6;bebida;suco de laranja
56;6;borda;catupiry
57;6;ingrediente 1;presunto
58;6;ingrediente 2;orégano
59;6;ingrediente 3;milho
60;6;ingrediente 4;azeitona
61;6;massa;massa grossa
62;6;queijo 1;mussarela
63;6;queijo 2;catupiry
64;7;bebida;cerveja
65;7;borda;cream cheese
66;7;ingrediente 1;presunto
67;7;ingrediente 2;tomate
68;7;ingrediente 3;rúcula
69;7;ingrediente 4;orégano
70;7;ingrediente 5;bacon
71;7;massa;massa tradicional
72;7;queijo 1;mussarela
73;7;queijo 2;cheddar
74;8;bebida;refrigerante
75;8;borda;borda tradicional
76;8;ingrediente 1;pepperoni
77;8;ingrediente 2;tomate seco
78;8;ingrediente 3;presunto
79;8;ingrediente 4;carne seca
80;8;ingrediente 5;bacon
81;8;massa;massa fina
82;8;queijo 1;mussarela
83;8;queijo 2;queijo coalho
84;9;bebida;água com gás
85;9;borda;catupiry
86;9;ingrediente 1;pepperoni
87;9;ingrediente 2;linguiça calabresa defumada
88;9;ingrediente 3;carne seca
89;9;ingrediente 4;camarão
90;9;ingrediente 5;alho-poró
91;9;massa;massa fina
92;9;queijo 1;mussarela
93;9;queijo 2;gorgonzola
94;10;bebida;refrigerante
95;10;borda;cheddar
96;10;ingrediente 1;orégano
97;10;ingrediente 2;tomate seco
98;10;ingrediente 3;pimenta biquinho
99;10;ingrediente 4;carne seca
100;10;ingrediente 5;alho-poró
101;10;massa;massa grossa
102;10;queijo 1;mussarela
103;10;queijo 2;parmesão
104;11;bebida;água com gás
105;11;borda;cheddar
106;11;ingrediente 1;presunto
107;11;ingrediente 2;tomate
108;11;ingrediente 3;milho
109;11;ingrediente 4;linguiça calabresa defumada
110;11;ingrediente 5;bacon
111;11;massa;massa tradicional
112;11;queijo 1;mussarela
113;11;queijo 2;catupiry
114;12;bebida;cerveja
115;12;borda;cream cheese
116;12;ingrediente 1;presunto
117;12;ingrediente 2;tomate
118;12;ingrediente 3;orégano
119;12;ingrediente 4;cebola
120;12;ingrediente 5;bacon
121;12;massa;massa integral
122;12;queijo 1;mussarela
123;12;queijo 2;queijo brie
124;13;bebida;vinho tinto
125;13;borda;catupiry
126;13;ingrediente 1;pepperoni
127;13;ingrediente 2;queijo roquefort
128;13;ingrediente 3;cogumelos
129;13;ingrediente 4;carne seca
130;13;ingrediente 5;camarão
131;13;massa;massa fina
132;13;queijo 1;provolone
133;13;queijo 2;gorgonzola
134;14;bebida;suco de laranja
135;14;borda;catupiry
136;14;ingrediente 1;pepperoni
137;14;ingrediente 2;orégano
138;14;ingrediente 3;cebola
139;14;ingrediente 4;carne seca
140;14;ingrediente 5;bacon
141;14;massa;massa fina
142;14;queijo 1;mussarela
143;14;queijo 2;catupiry
144;15;bebida;suco de uva
145;15;borda;catupiry
146;15;ingrediente 1;azeitona
147;15;ingrediente 2;brócolis
148;15;ingrediente 3;palmito
149;15;ingrediente 4;orégano
150;15;ingrediente 5;azeite de oliva
151;15;massa;massa tradicional
152;15;queijo 1;mussarela
153;15;queijo 2;catupiry
154;16;bebida;cerveja
155;16;borda;catupiry
156;16;ingrediente 1;tomate
157;16;massa;massa tradicional
158;16;queijo 1;mussarela
159;16;queijo 2;gorgonzola
160;17;bebida;refrigerante
161;17;borda;borda tradicional
162;17;ingrediente 1;cogumelos
163;17;ingrediente 2;palmito
164;17;ingrediente 3;abacaxi
165;17;massa;massa grossa
166;17;queijo 1;mussarela
167;17;queijo 2;queijo brie
168;18;bebida;refrigerante
169;18;borda;borda tradicional
170;18;ingrediente 1;cogumelos
171;18;ingrediente 2;palmito
172;18;ingrediente 3;ovo
173;18;ingrediente 4;cebola
174;18;ingrediente 5;ervilha
175;18;massa;massa tradicional
176;18;queijo 1;mussarela
